Date ,Day of Week,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
31-May-24,Friday,May,Q2,2024,EQ,1391.00,1451.00,1391.00,1383.50,1439.00,1437.40,1428.68,1457.05,703.00,8238969.00,11770830477.85,213346.00
30-May-24,Thursday,May,Q2,2024,EQ,1410.00,1413.65,1373.65,1410.00,1390.00,1383.50,1395.79,1457.05,703.00,3477661.00,4854071188.60,133342.00
29-May-24,Wednesday,May,Q2,2024,EQ,1406.00,1427.85,1382.90,1400.50,1409.00,1410.00,1407.34,1457.05,703.00,3214475.00,4523863672.40,103675.00
28-May-24,Tuesday,May,Q2,2024,EQ,1438.00,1438.00,1398.00,1431.65,1400.65,1400.50,1411.74,1457.05,703.00,4070886.00,5747015585.60,122574.00
27-May-24,Monday,May,Q2,2024,EQ,1445.00,1457.05,1423.60,1416.10,1432.70,1431.65,1439.25,1457.05,703.00,5517078.00,7940467764.90,149010.00
24-May-24,Friday,May,Q2,2024,EQ,1435.00,1444.95,1382.15,1443.35,1416.90,1416.10,1401.53,1448.80,693.15,19100263.00,26769568496.55,209082.00
23-May-24,Thursday,May,Q2,2024,EQ,1384.00,1448.80,1369.90,1378.20,1444.35,1443.35,1414.99,1448.80,693.15,7821034.00,11066696592.30,219904.00
22-May-24,Wednesday,May,Q2,2024,EQ,1394.35,1394.35,1364.20,1385.50,1378.10,1378.20,1376.40,1424.95,693.15,1878562.00,2585654815.70,86474.00
21-May-24,Tuesday,May,Q2,2024,EQ,1344.00,1398.80,1333.00,1340.20,1382.55,1385.50,1374.34,1424.95,693.15,4200578.00,5773016470.30,150749.00
18-May-24,Saturday,May,Q2,2024,EQ,1342.00,1345.20,1335.10,1335.70,1345.00,1340.20,1339.83,1424.95,659.50,192526.00,257952577.10,7543.00
17-May-24,Friday,May,Q2,2024,EQ,1330.00,1343.30,1321.15,1345.05,1335.75,1335.70,1334.80,1424.95,659.50,1945123.00,2596357383.70,104349.00
16-May-24,Thursday,May,Q2,2024,EQ,1352.20,1366.75,1310.50,1337.85,1342.00,1345.05,1340.27,1424.95,659.50,4822618.00,6463630277.00,183724.00
15-May-24,Wednesday,May,Q2,2024,EQ,1337.85,1353.95,1333.00,1331.25,1337.60,1337.85,1341.63,1424.95,659.50,2189768.00,2937867131.10,95993.00
14-May-24,Tuesday,May,Q2,2024,EQ,1306.40,1339.90,1285.25,1306.40,1332.35,1331.25,1322.05,1424.95,659.50,2989543.00,3952324253.50,107922.00
13-May-24,Monday,May,Q2,2024,EQ,1267.00,1313.00,1261.65,1266.75,1305.10,1306.40,1285.75,1424.95,659.50,2495810.00,3208984127.40,97610.00
10-May-24,Friday,May,Q2,2024,EQ,1250.00,1278.70,1245.75,1244.55,1271.95,1266.75,1266.82,1424.95,659.50,2022402.00,2562011999.65,76352.00
09-May-24,Thursday,May,Q2,2024,EQ,1279.00,1285.80,1240.00,1277.25,1244.00,1244.55,1260.16,1424.95,659.50,2591646.00,3265889778.15,123666.00
08-May-24,Wednesday,May,Q2,2024,EQ,1293.35,1293.70,1269.05,1287.65,1278.00,1277.25,1282.56,1424.95,659.50,1627418.00,2087261154.60,75182.00
07-May-24,Tuesday,May,Q2,2024,EQ,1291.10,1301.15,1265.00,1289.95,1286.00,1287.65,1283.34,1424.95,659.50,3474340.00,4458746208.00,129119.00
